"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"%s and above","%s и больше"
"Product with this combination of attributes already associated to configurable.","Товар с этой комбинации атрибутов, уже связан с настраиваемым."
"Products","Товары"
"Products Comparison List","Список сравнения товаров"
"Products Information","Информация о товаре"
"Products Reviews","Отзывы о товаре"
"Products Sitemap","Карта товарного каталога"
"Products only","Только товары"
"Products per Page on Grid Allowed Values","Разрешённые значения параметра """"товаров на странице"""" (вывод в виде таблицы)"
"Products per Page on Grid Default Value","Значение по умолчанию параметра """"товаров на странице"""" (вывод в виде таблицы)"
"Products per Page on List Allowed Values","Разрешённые значения параметра """"товаров на странице"""" (вывод в виде списка)"
"Products per Page on List Default Value","Значение по умолчанию параметра """"товаров на странице"""" (вывод в виде списка)"
"Properties","Свойства"
"Qty","Кол-во"
"Qty Increments","Шаги количеств"
"Qty Uses Decimals","Дробное кол-во"
"Qty for Item\'s Status to Become Out of Stock","Кол-во товара для получения им статуса нет в наличии."
"Qty for Item\'s Status to become Out of Stock","Кол-во товара для получения им статуса нет в наличии."
"Qty:","Кол-во:"
"Quantity","Количество"
"Quick Create","Быстрое создание"
"Quick Overview","Краткая информация"
"Quick simple product creation","Быстрое создание простого товара"
"Records for ""","Записей для """
"Records for ""%s"" store found.","Найдена запись для магазина ""%s""."
"Recurring Profile","Повторяющиеся платежи"
"Redirect","Перенаправление"
"Redirect URL","URL переадресации"
"Regular Price:","Обычная цена:"
"Related Products","Сопутствующие товары"
"Remove","Удалить"
"Remove Product From Websites","Удалить товар с сайтов"
"Remove This Item","Удалить позицию"
"Remove attribute from attribute set","Удалить атрибут из набора атрибутов"
"Remove attribute set","Удалить набор атрибутов"
"Remove custom option","Удалить настраиваемый вариант"
"Remove group from attribute set","Удалить группу из набора атрибутов"
"Remove option","Удалить вариант"
"Remove product assignment","Удалить назначение товара"
"Remove product image","Удалить изображение товара"
"Remove product link","Удалить ссылку товара"
"Remove value from custom option","Удалить значение из настраиваемого варианта"
"Rename existing group","Переименовать существующую группу"
"Rename group","Переименовать группу"
"Reorganize EAV category structure to flat structure","Реорганизовать EAV структуру категорий в горизонтальную структуру (flat)"
"Reorganize EAV product structure to flat structure","Реорганизовать EAV структуру товаров в горизонтальную структуру (flat)"
"Reset","Сбросить"
"Results","Результаты"
"Retrieve attribute data","Получить данные атрибута"
"Retrieve attribute list","Получить список атрибута"
"Retrieve attribute options","Получить параметры атрибута"
"Retrieve categories tree","Получить дерево категорий"
"Retrieve category attributes","Получить атрибуты категории"
"Retrieve category data","Получить данные категории"
"Retrieve hierarchical tree","Получить дерево иерархии"
"Retrieve linked products","Получить связанные товары"
"Retrieve list of assigned products","Получить список назначенных товаров"
"Retrieve list of option values","Получить список значений варианта"
"Retrieve list of product custom options","Получить список настраиваемых вариантов товара"
"Retrieve one level of categories by website/store view/parent category","Получить 1 уровень категорий сайта/представления магазина/родительской категории"
"Retrieve option value info","Получить информацию о значении варианта"
"Retrieve product","Получить товар"
"Retrieve product attribute sets","Получить набор атрибутов товара"
"Retrieve product image","Получить изображение товара"
"Retrieve product image list","Получить список изображений товара"
"Retrieve product image types","Получить типы изображений товара"
"Retrieve product link type attributes","Получить атрибуты типа ссылки товара"
"Retrieve product link types","Получить типы ссылки товара"
"Retrieve product tier prices","Получить дифференцированные цены товара"
"Retrieve product types","Получить типы товара"
"Retrieve products data","Получить данные о товаре"
"Retrieve products list by filters","Получить отфильтрованный список товаров"
"Reviews","Отзывы"
"Roll Over for preview","Навести курсор для просмотра"
"Root","Корневая"
"SKU","Артикул (SKU)"
"SKU length should be %s characters maximum.","Максимальная длинна артикула - %s."
"Save","Сохранить"
"Save Attribute","Сохранить атрибут"
"Save Attribute Set","Сохранить набор атрибутов"
"Save Category","Сохранить категорию"
"Save Search","Запомнить поиск"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Saved %d record(s)","Сохранено записей %d"
"Scope","Область действия"
"Scope must not be changed, because the attribute is used in configurable products.","Область действия не должна меняться, так как атрибут используется в настраиваемых товарах."
"Search","Поиск"
"Search Engine Optimizations","Оптимизация в поисковых системах (SEO)"
"Search Information","Информация о поиске"
"Search Query","Поисковый запрос"
"Search Term with such search query already exists.","Критерий поиска с таким же поисковым запросом уже существует."
"Searchable","Для поиска"
"See price before order confirmation.","Посмотрите цены перед подтверждением заказа."
"Select Category...","Выберите категорию..."
"Select Configurable Attributes ","Выберите настраиваемые атрибуты"
"Select Product...","Выберите товар..."
"Select type of option","Выберите тип параметра"
"Select type options required values rows.","Выберите тип обязательных параметров."
"Selected Product Types","Выбранные типы товара"
"Selected configuration is not available.","Выбранная конфигурация недоступна."
"Send Count","Отправить количество"
"Set Ascending Direction","Сортируется по убыванию. Установить по возрастанию"
"Set Descending Direction","Сортируется по возрастанию. Установить по убыванию"
"Set Name","Установить название"
"Set Root Category for Store","Установить корневую категорию для магазина"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установить корневую категорию для этого магазина в <a href=""%s"">конфигурации</a>"
"Set special price","Установить цену особого предложения"
"Set/Get current store view","Установить/получить текущее представление магазина"
"Settings","Настройки"
"Shop By","Фильтр"
"Shopping Options","Фильтр"
"Show","Показывать по"
"Show Details","Показать подробно"
"Show Tags","Показать метки"
"Simple Product","Простой товар"
"Site Map","Карта сайта"
"Sitemap","Карта сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Пропуск строки при импорте, не определено обязательное поле ""%s"" для нового клиента."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Пропуск строки при импорте, не определено обязательное поле ""%s"" для нового товара."
"Skipping import row, required field ""%s"" is not defined.","Пропуск строки при импорте, не определено обязательное поле ""%s""."
"Skipping import row, store ""%s"" field does not exist.","Пропуск строки при импорте, несуществующее поле магазина ""%s""."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","У некоторых обработанных товаров не указаны значения артикула (SKU). Заполните их перед выполнением операций с этими товарами."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","У некоторых товаров, указанных ниже, указаны не все обязательные параметры. Отредактируйте их и укажите все обязательные параметры."
"Some of the selected item options are not currently available.","Некоторые из выбранных параметров позиции в данный момент недоступны."
"Sort By","Сортировать по"
"Sort Order","Порядок сортировки"
"Source Model","Модель-источник"
"Special Expires On: %s","Скидка истекает: %s"
"Special Price:","Цена со скидкой:"
"Special Price: %s","Цена со скидкой: %s"
"Starting at:","Начиная от:"
"Static","Статичный"
"Static block and products","Статичный блок и товары"
"Static block only","Только статичный блок"
"Status","Статус"
"Stock Availability","Наличие на складе"
"Store","Магазин"
"Store View","Представление магазина"
"Stretch","Растянуть"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Super product attributes configuration","Конфигурация атрибутов супер товара"
"Synonym For","Синоним для"
"System Properties","Свойства системы"
"Tag Name","Название метки"
"Tax","Налог"
"Template","Шаблон"
"Text","Текст"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Модуль каталога с горизонтальной структурой данных имеет ограничение на максимальное количество (%2\$d) фильтруемых/сортируемых атрибутов. В данный момент таких атрибутов: %1\$d. Пожалуйста, уменьшите число фильтруемых/сортируемых атрибутов для использования данного модуля"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Модуль каталога с горизонтальной структурой данных имеет ограничение на максимальное количество (%2\$d) фильтруемых/сортируемых атрибутов. В данный момент таких атрибутов: %1\$d. Пожалуйста, уменьшите число фильтруемых/сортируемых атрибутов для использования данного модуля."
"The From Date value should be less than or equal to the To Date value.","Значение поля С даты должно быть меньше или равным значению поля По дату"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Код аттрибута \'%s\' зарезвирован системой. Пожалуйста, введите другой код атрибута"
"The attribute model is not defined","Модель атрибута не определена"
"The attribute set has been saved.","Набор атрибутов сохранён."
"The base directory to upload file is not specified.","Не указана базовая папка для закачивания файлов."
"The base directory to upload image file is not specified.","Не указана базовая папка для закачивания изображений."
"The category has been deleted.","Категория удалена."
"The category has been saved.","Категория сохранена."
"The comparison list was cleared.","Список для сравнения очищен."
"The email template is not specified by administrator.","Шаблон письма не указан администратором."
"The file '%s' for '%s' has an invalid extension","У файла '%s' для '%s' неверное расширение"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Закачанный вами файл '%s' больше чем разрешено на сервере (%s мегабайт)"
"The file you uploaded is larger than %s Megabytes allowed by server","Закачанный вами файл больше чем разрешено на сервере (%s мегабайт)"
"The filters must be an array.","Фильтры должны быть в виде массива."
"The image contents is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"The image is not specified.","Изображение не указано."
"The model collection resource name is not defined.","Имя модели коллекции русурса не определено."
"The product %s has been added to comparison list.","Товар <strong>%s</strong> успешно добавлен в список сравнения."
"The product %s has been removed from comparison list.","Товар <strong>%s</strong> успешно удалён из списка сравнения."
"The product attribute has been deleted.","Атрибут товара удалён."
"The product attribute has been saved.","Атрибут товара сохранён."
"The product has been created.","Товар создан."
"The product has been deleted.","Товар удалён."
"The product has been duplicated.","Товар продублирован."
"The product has been saved.","Товар сохранён."
"The product has required options","Товар содержит обязательные параметры"
"The review has been deleted","Отзыв удалён"
"The review has been saved.","Отзыв сохранён."
"The review was removed by another user or does not exist.","Отзыв удалён других пользователем или не существует."
"The search was deleted.","Поиск удалён."
"The text is too long","Текст слишком длинны"
"There are no %s available.","%s нет в наличии."
"There are no customers for this alert","Нет клиентов для этого оповещения"
"There are no customers for this alert.","Нет клиентов для этого оповещения."
"There are no products matching the selection.","Нет товаров, соответствующих вашему выбору."
"There was an error while request processing.","Ошибка при обработке запроса."
"This Attribute no longer exists","Этот атрибут больше не существует"
"This attribute cannot be deleted.","Этот атрибут не может быть удалён."
"This attribute cannot be edited.","Этот атрибут не может быть отредактирован."
"This attribute cannot be updated.","Этот атрибут не может быть обновлён."
"This attribute is used in configurable products.","Этот атрибут используется в настраиваемых товарах."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Этот атрибут используется в настраиваемых товарах. Вы не можете удалить его из набора атрибутов."
"This attribute no longer exists","Этот атрибут больше не существует"
"This attribute set no longer exists.","Этот набор атрибутов больше не существует."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Эта группа содержит атрибуты, используемые в настраиваемых товарах. Пожалуйста, переместите эти атрибуты в другую группу и попробуйте ещё раз."
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа содержит системные атрибуты. Пожалуйста, переместите системные атрибуты в другую группу и попробуйте еще раз."
"This is a required option","Это обязательный параметр"
"This product no longer exists.","Товар больше не существует."
"This search no longer exists.","Этот поиск больше не существует."
"This setting will be applied when all prices in the specific price interval are equal.","Этот параметр применяется в случае, когда в интервале все цены одинаковы."
"Tier Pricing","Дифференцированные цены"
"Tile","Повторение"
"Time Format","Формат времени"
"Title","Заголовок"
"To reindex the enabled product(s), the store or product must be specified","Для переиндексации товаров необходимо указать магазин или товар"
"To reindex the enabled product(s), the store or product must be specified.","Для переиндексации товаров необходимо указать магазин или товар."
"To see product price, add this item to your cart. You can always remove it later.","Чтобы узнать цену, поместите товар в корзину. Вы в любой момент сможете удалить его из корзины."
"Top/Left","Верх/лево"
"Top/Right","Верх/право"
"Total Qty Base Items","Всего кол-во"
"Total Qty Content Items","Всего кол-во позиций содержимого"
"Total incl. Tax: %1$s","Итого вкл. налог: %1$s"
"Total of %d record(s) have been deleted.","Удалено записей: %d."
"Total of %d record(s) have been updated.","Обновлено записей: %d."
"Total of %d record(s) were updated","Обновлено записей: %d."
"Type","Тип"
"URL Rewrite Management","Управление правилами URL"
"Unable to complete this request.","Невозможно выполнить запрос."
"Unable to find a search term to delete.","Невозможно найти критерий поиска для удаления."
"Unable to find an attribute to delete.","Невозможно найти атрибут для удаления."
"Unable to get the product ID.","Невозможно получить идентификатор товара."
"Unassigned Attributes","Неприсвоенные атрибуты"
"Unknown EAV indexer type ""%s"".","Неизвестный тип EAV индексатора ""%s""."
"Unknown attribute: %s.","Неизвестный атрибут: %s."
"Unsupported product type ""%s"".","Не поддерживаемый тип товара: ""%s""."
"Up-sells","Похожие товары"
"Update","Обновить"
"Update Attributes","Обновить атрибуты"
"Update Tier Price","Обновить дифференцированную цену"
"Update assigned product","Обновить связанный товар"
"Update attribute","Обновить атрибут"
"Update attributes","Обновить атрибуты"
"Update category","Обновить категорию"
"Update custom option of product","Обновить настраиваемый вариант товара"
"Update product","Обновить товар"
"Update product image","Обновить изображение товара"
"Update product link","Обновить ссылку товара"
"Update product tier prices","Обновить дифференцированные цены товара"
"Update value of custom option","Обновить значение настраиваемого варианта"
"Upload new product image ","Закачать новое изображение товара"
"Url Rewrite Management","Управление правилами URL"
"Use Canonical Link Meta Tag For Categories","Использовать мета тег канонической ссылки для категорий"
"Use Canonical Link Meta Tag For Products","Использовать мета тег канонической ссылки для товаров"
"Use Categories Path for Product URLs","Использовать путь категории для адресов (URLs) товара"
"Use Config Settings","Использовать настройки конфигурации"
"Use Default Value","Использовать значение по умолчанию"
"Use Flat Catalog Category","Использовать категории каталога с горизонтальной структурой хранения"
"Use Flat Catalog Product","Использовать товары с горизонтальной структурой хранения"
"Use In Layered Navigation","Использовать в многоуровневой навигации"
"Use In Search Results Layered Navigation","Использовать в результатах поиска (в многоуровневой навигации)"
"Use JavaScript Calendar","Использовать JavaScript календарь"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Использовать в редакторе WYSIWYG статичные адреса (URLs) для медиа содержимого каталога"
"Use To Create Configurable Product","Используется для создания настраиваемых товаров"
"Use Tree Like Category Sitemap","Использовать дерево наподобие карты сайта категорий"
"Use config","Использовать настройки конфигурации"
"Use default","Использовать значение по умолчанию"
"Use for Promo Rule Conditions","Использовать для условий PROMO правил"
"Use four-digit year format.","Использовать 4 цифры для записи года."
"Use in Advanced Search","Использовать в расширенном поиске"
"Use in Layered Navigation","Использовать в многоуровневой навигации"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Использовать в многоуровневой навигации <br/> (может быть использована только с типом ввода каталога 'выпадающий список')"
"Use in Quick Search","Использовать в быстром поиске"
"Used for Sorting in Product Listing","Использовать для сортировки в списке товаров"
"Used in Product Listing","Использовать в списке товаров"
"Value for ""%s"" is invalid.","Неверное значение для ""%s""."
"Value for ""%s"" is invalid: %s","Неверное значение для ""%s"" (%s)"
"Varchar","Строковая величина"
"View as","Вид"
"Virtual Product","Виртуальный товар"
"Visibility","Видимость"
"Visible","Видимый"
"Visible on Catalog Pages on Front-end","Видимый на странице каталога в пользовательской части"
"Visible on Product View Page on Front-end","Видимый на странице просмотра товара в пользовательской части"
"WYSIWYG Editor","Редактор WYSIWYG"
"Watermark","Водяной знак"
"Watermark Default Size","Размер водяного знака по умолчанию"
"Watermark Opacity, Percent","Прозрачность водяного знака (в процентах. 0 - прозрачный, 100 - не прозрачный)"
"Watermark Position","Расположение водяного знака"
"We Also Recommend","Похожие товары"
"Website","Сайт"
"Websites","Сайты"
"What's this?","Что это?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Показывать ли параметр ""Все"" в выпадающем списке ""Показывать Х на страницу""."
"Will make search for the query above return results for this search.","При поиске синонима будет возвращён результат данного поиска."
"Wrong BuyRequest instance in options group.","Неверный экземпляр запроса на покупку в группе параметров."
"Wrong configuration item instance in options group.","Неверный экземпляр позиции конфигурации в группе параметров."
"Wrong configuration item option instance in options group.","Неверный экземпляр параметра позиции конфигурации в группе параметров."
"Wrong option instance type in options group.","Неверный экземпляр типа параметра в группе параметров."
"Wrong option type to get group instance.","Неверный тип параметра для получения экземпляра группы."
"Wrong product instance type in options group.","Неверный экземпляр типа товара в группе параметров."
"Wrong product type filter specified","Указан неверный фильтр типа товара"
"Wrong product type to extract configurable options.","Неверный тип товара для извлечения параметров."
"Year Range","Диапазон лет"
"Yes","Да"
"You cannot email this product to a friend.","Вы не можете оповестить друга по почте об этом товаре."
"You cannot remove system attribute from this set.","Вы не можете удалить системный атрибут из этого набора."
"You cannot send more than %d emails at a time.","Вы не можете посылать более %d писем одновременно."
"You have exceeded limit of %d sends in an hour.","Вы превысили лимит отсылок писем в час (%d)."
"You have no items to compare.","У вас нет товаров для сравнения."
"You have to specify at least one recipient.","Вам необходимо указать хотя бы одного получателя."
"You may also be interested in the following product(s)","Смотрите также"
"Zoom In","Увеличить"
"Zoom Out","Уменьшить"
"[GLOBAL]","[Глобально]"
"and","и"
"and above","и больше"
"categories","категории"
"each","каждый"
"ex. http://domain.com","напр. http://domain.com"
"leave blank if its not an image","Оставьте пустым, если это не изображение"
"per page",""
"products","товаров"
"px.","пикс."
"save","сэкономь"
"select all","выбрать все"
"unselect all","снять выбор со всех"
"x","x"
